Date,ltp,Adj Close
11-Aug-2023,212.79,212.71
10-Aug-2023,214,213.88
09-Aug-2023,214.79,214.57
08-Aug-2023,213.21,213.63
07-Aug-2023,214.65,214.04
04-Aug-2023,213.03,212.46
03-Aug-2023,212.25,211.37
02-Aug-2023,213.25,212.84
01-Aug-2023,215.72,215.7
31-Jul-2023,216.25,215.75
28-Jul-2023,214.89,214.78
27-Jul-2023,214.8,214.64
26-Jul-2023,215.75,215.1
25-Jul-2023,213.91,213.99
24-Jul-2023,213.61,214.05
21-Jul-2023,215,214.71
20-Jul-2023,216.28,216.47
19-Jul-2023,215.62,215.36
18-Jul-2023,214.01,214.29
17-Jul-2023,213.87,213.99
14-Jul-2023,212.73,212.83
13-Jul-2023,211.96,211.95
12-Jul-2023,211.6,211.53
11-Jul-2023,211.21,211.31
10-Jul-2023,210.23,210.43
07-Jul-2023,210.97,210.32
06-Jul-2023,211.55,211.71
05-Jul-2023,210.89,210.93
04-Jul-2023,211.1,210.48
03-Jul-2023,210.03,210.1
30-Jun-2023,208.61,208.61
28-Jun-2023,206.51,206.46
27-Jun-2023,205.7,205.48
26-Jun-2023,203.16,203.36
23-Jun-2023,203.05,203.84
22-Jun-2023,204.52,205.03
21-Jun-2023,205.45,205.7
20-Jun-2023,204.7,205.55
19-Jun-2023,205.24,204.98
16-Jun-2023,205.01,205.19
15-Jun-2023,204.25,204.02
14-Jun-2023,204.16,204.2
13-Jun-2023,204.3,203.98
12-Jun-2023,203.64,203.4
09-Jun-2023,202.94,202.95
08-Jun-2023,203.01,203.41
07-Jun-2023,203.4,203.52
06-Jun-2023,202.8,202.71
05-Jun-2023,203.39,203.18
02-Jun-2023,201.41,201.58
01-Jun-2023,201.67,201.55
31-May-2023,201.85,201.79
30-May-2023,201.8,202.02
29-May-2023,201.99,201.62
26-May-2023,200.51,200.52
25-May-2023,199.19,199
24-May-2023,199.65,198.92
23-May-2023,198.5,198.61
22-May-2023,198.19,198.56
19-May-2023,197.2,196.98
18-May-2023,197.5,197.07
17-May-2023,197.03,197.17
16-May-2023,198.57,198.59
15-May-2023,199.5,199.52
12-May-2023,197.91,197.94
11-May-2023,197.9,198.04
10-May-2023,197.99,197.77
09-May-2023,198.49,197.83
08-May-2023,197.26,197.37
05-May-2023,195.4,195.47
04-May-2023,196.94,196.98
03-May-2023,195.65,195.35
02-May-2023,195.71,195.84
28-Apr-2023,195.07,194.92
27-Apr-2023,193.19,193.1
26-Apr-2023,192.98,192.53
25-Apr-2023,191.59,191.67
24-Apr-2023,192.22,191.98
21-Apr-2023,189.92,189.98
20-Apr-2023,190.05,190.48
19-Apr-2023,191.05,190.83
18-Apr-2023,191.64,191.55
17-Apr-2023,191.99,191.58
13-Apr-2023,192.9,192.22
12-Apr-2023,191.71,191.97
11-Apr-2023,191.43,191.14
10-Apr-2023,190.79,190.22
06-Apr-2023,189.51,190.34
05-Apr-2023,189.21,189.14
03-Apr-2023,187.11,187.58
31-Mar-2023,187.53,187.49
29-Mar-2023,185.08,184.55
28-Mar-2023,183.75,183.72
27-Mar-2023,183.95,184.1
24-Mar-2023,183.96,184.01
23-Mar-2023,184.9,184.38
22-Mar-2023,184.79,185.28
21-Mar-2023,185.19,184.78
20-Mar-2023,183.2,183.19
17-Mar-2023,184.3,185.26
16-Mar-2023,184.1,184.26
15-Mar-2023,184.4,184.45
14-Mar-2023,184.66,184.91
13-Mar-2023,186.03,186.02
10-Mar-2023,188.5,188.42
09-Mar-2023,190.7,190.69
08-Mar-2023,191.74,191.73
06-Mar-2023,191.64,191.15
03-Mar-2023,189.35,189.45
02-Mar-2023,186.65,187.19
01-Mar-2023,188.69,188.41
28-Feb-2023,187.35,187.21
27-Feb-2023,187.98,187.55
24-Feb-2023,188.01,188.81
23-Feb-2023,189.3,189.53
22-Feb-2023,189.86,189.75
21-Feb-2023,192.59,192.59
20-Feb-2023,192.01,192.1
17-Feb-2023,193.75,193.98
16-Feb-2023,195.23,195.16
15-Feb-2023,194.8,193.81
14-Feb-2023,192.66,192.16
13-Feb-2023,192.3,192.29
10-Feb-2023,192.98,193.08
09-Feb-2023,193.16,193.27
08-Feb-2023,194.1,193.78
07-Feb-2023,191.75,191.84
06-Feb-2023,192.1,192.45
03-Feb-2023,192.51,192.5
02-Feb-2023,191.34,191.05
01-Feb-2023,191.9,190.88
31-Jan-2023,192.77,193.33
30-Jan-2023,194,192.23
27-Jan-2023,192.2,192.44
25-Jan-2023,196.9,196.78
24-Jan-2023,199.63,199.5
23-Jan-2023,198.6,198.74
20-Jan-2023,197.7,198.15
19-Jan-2023,199.3,199.26
18-Jan-2023,199.31,199.49
17-Jan-2023,199.29,198.44
16-Jan-2023,197.83,197.65
13-Jan-2023,198.19,198.1
12-Jan-2023,197.54,197.32
11-Jan-2023,197.51,197.32
10-Jan-2023,198.04,197.99
09-Jan-2023,198.67,198.75
06-Jan-2023,197.27,197.2
05-Jan-2023,198.55,198.53
04-Jan-2023,198.81,198.8
03-Jan-2023,200.89,200.75
02-Jan-2023,200.7,200.09
